=== NoC Performance Results [PRS (2-phase, gate-level event count)] ===
Averaged over 10 runs per configuration.
# Latency = mean per-packet (t_eject - t_inject).
# t_inject is logged in mock_core_tx immediately before out_chan!val;
# t_eject  is logged in mock_core_rx after in_chan?pkt.
-------------------------------------------------------------------------------------
Grid     | Packets/Core   | Load %   | Avg Total Cycles   | Avg E2E Latency     
9x9      | 5              | 10       | 12019.00           | 2834.12             
9x9      | 5              | 25       | 15558.00           | 3209.35             
9x9      | 5              | 50       | 24990.00           | 4373.61             
9x9      | 5              | 75       | 29502.00           | 5719.77             
9x9      | 5              | 100      | 36210.00           | 6979.59             
10x10     | 1              | 10       | 2811.00            | 1464.50             
10x10     | 1              | 25       | 4783.00            | 1735.04             
10x10     | 1              | 50       | 7032.00            | 2161.26             
10x10     | 1              | 75       | 9122.00            | 2692.87             
10x10     | 1              | 100      | 11297.00           | 3339.48             
10x10     | 3              | 10       | 7715.56            | 2755.15             
10x10     | 3              | 25       | 12646.00           | 3469.53             
10x10     | 3              | 50       | 18274.00           | 4638.48             
10x10     | 3              | 75       | 24419.00           | 6078.19             
10x10     | 3              | 100      | 29248.89           | 7518.71             
10x10     | 5              | 10       | 13361.00           | 3077.66             
10x10     | 5              | 25       | 21566.00           | 3858.02             
10x10     | 5              | 50       | 29632.00           | 5313.74             
10x10     | 5              | 75       | 34778.00           | 6715.85             
10x10     | 5              | 100      | 47841.11           | 8495.11             
11x11     | 1              | 10       | 3374.44            | 1652.69             
11x11     | 1              | 25       | 5660.00            | 1929.53             
11x11     | 1              | 50       | 8313.75            | 2488.15             
11x11     | 1              | 75       | 11261.00           | 3143.12             
11x11     | 1              | 100      | 14758.00           | 3978.81             
11x11     | 3              | 10       | 9097.00            | 3049.06             
11x11     | 3              | 25       | 13975.00           | 3902.26             
11x11     | 3              | 50       | 22990.00           | 5526.60             
11x11     | 3              | 75       | 28153.00           | 7221.39             
11x11     | 3              | 100      | 34592.00           | 8960.99             
11x11     | 5              | 10       | 16034.00           | 3417.35             
11x11     | 5              | 25       | 24693.00           | 4377.20             
11x11     | 5              | 50       | 38281.00           | 6256.70             
11x11     | 5              | 75       | 48381.00           | 8231.78             
11x11     | 5              | 100      | 54586.00           | 9976.69             
# Single-grid sweep for 8x10 appended Wed May 13 23:49:12 CEST 2026
8x10     | 1              | 10       | 2135.00            | 1164.88             
8x10     | 1              | 25       | 4390.00            | 1670.22             
8x10     | 1              | 50       | 5511.25            | 1844.94             
8x10     | 1              | 75       | 7276.00            | 2211.32             
8x10     | 1              | 100      | 9834.00            | 2751.84             
8x10     | 3              | 10       | 6804.44            | 2362.36             
8x10     | 3              | 25       | 10151.00           | 3035.90             
8x10     | 3              | 50       | 14916.00           | 3917.53             
8x10     | 3              | 75       | 19846.00           | 4986.47             
8x10     | 3              | 100      | 23699.00           | 6304.07             
8x10     | 5              | 10       | 12048.89           | 2693.89             
8x10     | 5              | 25       | 16294.00           | 3334.30             
8x10     | 5              | 50       | 23203.00           | 4501.52             
8x10     | 5              | 75       | 28341.00           | 5413.37             
8x10     | 5              | 100      | 34260.00           | 6666.75             
