=== NoC Performance Results [CHP (abstract sync, one event per ?/!)] ===
Averaged over 10 runs per configuration.
# Latency = mean per-packet (t_eject - t_inject).
# t_inject is logged in mock_core_tx immediately before out_chan!val;
# t_eject  is logged in mock_core_rx after in_chan?pkt.
-------------------------------------------------------------------------------------
Grid     | Packets/Core   | Load %   | Avg Total Cycles   | Avg E2E Latency     
10x10     | 1              | 10       | 1251.00            | 785.50              
10x10     | 1              | 25       | 1422.00            | 758.00              
10x10     | 1              | 50       | 1463.00            | 784.62              
10x10     | 1              | 75       | 1566.00            | 751.65              
10x10     | 1              | 100      | 1538.00            | 774.65              
10x10     | 3              | 10       | 1537.00            | 806.13              
10x10     | 3              | 25       | 1608.00            | 818.01              
10x10     | 3              | 50       | 1750.00            | 855.54              
10x10     | 3              | 75       | 1873.00            | 873.52              
10x10     | 3              | 100      | 1968.00            | 926.12              
10x10     | 5              | 10       | 1738.00            | 817.22              
10x10     | 5              | 25       | 1967.00            | 853.86              
10x10     | 5              | 50       | 2073.00            | 914.78              
10x10     | 5              | 75       | 2227.00            | 963.37              
10x10     | 5              | 100      | 2394.00            | 1030.14             
11x11     | 1              | 10       | 1458.00            | 891.17              
11x11     | 1              | 25       | 1602.00            | 828.87              
11x11     | 1              | 50       | 1663.00            | 836.20              
11x11     | 1              | 75       | 1733.00            | 829.64              
11x11     | 1              | 100      | 1728.00            | 831.88              
11x11     | 3              | 10       | 1608.00            | 871.06              
11x11     | 3              | 25       | 1832.00            | 895.70              
11x11     | 3              | 50       | 1873.00            | 893.96              
11x11     | 3              | 75       | 2044.00            | 946.39              
11x11     | 3              | 100      | 2121.00            | 979.44              
11x11     | 5              | 10       | 1865.00            | 901.87              
11x11     | 5              | 25       | 2066.00            | 914.75              
11x11     | 5              | 50       | 2219.00            | 965.59              
11x11     | 5              | 75       | 2461.00            | 1058.51             
11x11     | 5              | 100      | 2665.00            | 1128.48             
# Single-grid sweep for 8x10 appended Wed May 13 23:48:08 CEST 2026
8x10     | 1              | 10       | 1116.00            | 654.62              
8x10     | 1              | 25       | 1350.00            | 714.45              
8x10     | 1              | 50       | 1276.00            | 691.25              
8x10     | 1              | 75       | 1438.00            | 733.13              
8x10     | 1              | 100      | 1422.00            | 710.30              
8x10     | 3              | 10       | 1315.00            | 742.50              
8x10     | 3              | 25       | 1470.00            | 759.67              
8x10     | 3              | 50       | 1551.00            | 787.67              
8x10     | 3              | 75       | 1685.00            | 809.47              
8x10     | 3              | 100      | 1765.00            | 851.90              
8x10     | 5              | 10       | 1563.00            | 779.50              
8x10     | 5              | 25       | 1639.00            | 789.45              
8x10     | 5              | 50       | 1919.00            | 827.95              
8x10     | 5              | 75       | 1984.00            | 888.81              
8x10     | 5              | 100      | 2257.00            | 965.10              
